headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,silver,"銀(金属元素;化学記号はAg)  / (商品・通貨基準としての)銀  / 銀貨(一般に銀白色の)硬貨  / 《集合的に》銀(銀めっき)の食器類,銀器  / 銀製の,銀めっきした  / 銀色の,銀白色の  / …‘に'銀めっきする  / 《文》…‘を'銀色にする  / 銀色になる",/'sɪlvər/,Silver is a precious metal.,銀は貴重な金属です。
,,,simple,【形】簡単な / 単純な / 純然たる / 飾り毛のない / もったいぶらない,/'sɪmpəl/,This is a simple task.,これは簡単な仕事です。
,,,sing,"歌う;(…に)歌って聞かせる《+to(for)+名》;(楽器に合わせて)歌う《+to+名》・〈小鳥・虫などが〉鳴く,さえずる  / 《文》(…を)詩(歌)にする,(詩(歌)を詠んで)賛美する《+of+名》・〈小川・風・弾丸・湯沸かし・耳などが〉歌うように鳴る・《米語》自白する;密告する・〈歌〉‘を'歌う・《副詞[句]を伴って》歌って…‘を'(…に)する・…‘を'唱える,詠唱する・《文》…‘を'詩(歌)にする,(詩(歌)に詠んで)賛美する・合唱の集い",/sɪŋ/,I sing a song every night before bed.,毎晩、私は寝る前に歌を歌います。
,,,single,"たった一つの, 一人の / 一人用の / 独身の",/'sɪŋɡəl/,This is the single most important decision of your life.,これはあなたの人生でたった一つの最も重要な決定です。
,,,sir,"《時にS-》《冠詞なしで》《男性の目上の人・見知らぬ人・店の客・上官・先生・議長などに対する敬った丁寧な呼び掛け語として》あなた,だんな,先生,(警官などが男性を呼び止めて)おい,君  / 《S-》〈U〉サー  / 《しばしばS-》〈C〉《手紙の書き出しのあいさつに用いて》拝啓",/sɜːr/,"Sir, I need your help.",サー、私の助けが必要です。
,,,size,"【名/U/C】(人や物の) 大きさ / 【名/C】(帽子・靴・シャツなどの) サイズ, 寸法",/saɪz/,The size of the room is very large.,部屋の大きさはとても大きいです。
,,,site,"【名】(特別な目的を持って使用される)土地,敷地 / (重大な出来事が起こった)場所,跡地 / 【動/他】...を配置する / ...の立地を決める",/saɪt/,I visited the famous site yesterday.,昨日は有名なサイトを訪れました。
,,,six,"〈C〉(数の)6;6の記号(6,VIなど)  / 〈U〉6時,6分;6歳  / 《複数扱い》6人,6個  / 〈C〉六つ(6人,6個)一組のもの  / 〈C〉(カード・さいころなどの)6の札(目)  / 6の,6人の,6個の  / 《補語にのみ用いて》6歳の(で)",/sɪks/,There are six apples on the table.,テーブルの上にはりんごが6つあります。
,,,sit,"【動/自】《...に》座る, 座っている《at, on, in ...》 / 《場所の副詞を伴って》(ある場所に) 位置する",/sɪt/,I'm going to sit here for a while.,ここにしばらく座っています。
,,,skirt,"(女性用の)スカート  / (コート・ドレスなどの腰から下の)すそ  / (車両・機械などの)すそ部,覆い,スカート  / 《複数形で》(…の)周辺,はずれ,郊外《+of+名》  / 《俗》女,娘(特にa bit of skirt,a piece of skirtの形で快楽の対象としてふざけて)  / …‘の'縁(境)にある  / …‘を'縁(境)に沿って行く,周辺を回って通る  / 〈問題など〉‘を'回避する  / (…の)縁(境)にある《+along(around)+名》  / (…の)縁(境)に沿って行く《+along(around)+名》",/skɜːrt/,She wore a long black skirt.,彼女は長い黒いスカートを着ていた。
,,,slip,【動/自】滑る / 【動/他】〈物〉を滑らせる /【名/C】滑ること / ちょっとした誤り,/slɪp/,I slipped on the wet floor.,私は濡れた床で滑って転んだ。
,,,smell,"(調べたりするために)…‘を'かぐ,‘の'においをかぐ  / …‘を'においで気づく,‘の'においに感づく  / …‘に'感づく,‘を'かぎ出す《+out+名,+名+out》  / 〈物が〉においがする,におう  / 〈人・動物が〉においがわかる;(…の)においをかぐ《+at+名》  / (特に)いやなにおいがする  / 〈物事が〉何かにおう,(…の)感じがする《+of+名(doing)》  / 〈U〉嗅覚(きゅうかく)  / 〈C〉(…の)におい《+of+名(doing)》;《形容詞句を伴なって》悪臭  / 〈C〉《a smell》(…を)かぐこと《+at(of)+名》",/smɛl/,The smell of the ocean filled the air.,海の空気が溢れていました。
,,,smile,"ほほえむ,にっこりする・〈好運・神などが〉(…に)好意を示す《+on(upon)+名》・《a+形容詞+smileを目的語にして》…‘な'笑い方をする・…‘を'ほほえんで示す・〈人〉‘に'ほほえみかけて(…)させる(させない)《+名〈人〉+into(out of)+名(doing)》・ほほえみ,微笑",/smaɪl/,The baby's smile was so cute.,赤ちゃんの笑顔がとても可愛かった。
,,,smart,"【形】(頭の働きが)気のきいた,抜け目のない, 賢い / (動作が)機敏な,てきぱきした / 現代風の / (人・服装などが)きちんとした",/smɑːrt/,He is a smart boy.,彼は賢い少年です。
,,,snow,"〈U〉雪  / 〈C〉《単数形で》降雪;《複数形で》積雪  / 〈U〉〈C〉雪のような物;(特に)コカイン,ヘロイン  / 《itを主語にして》雪が降る  / (…に)雪のように降る《+on+名》;雪のように舞い込む《+in》  / …‘を'雪のように降らせる  / …‘を'雪でおおう(閉じ込める)《+名+in(under, up)》",/snoʊ/,The snow was cold and crisp.,雪は冷たくてキリッとしていた。
,,,soil,"【名/U】(植物の成長に適する) 土, 土壌 / 【名/U/C】《気取って》国,地方 / 《the~》土地,農地",/sɔɪl/,The soil in this garden is very fertile.,この庭の土壌は非常に肥沃です。
,,,somebody,"【代】｟くだけて｠ 誰か, ある人【名/C/U】ひとかどの人物【U】（名前不詳の）誰か",/sʌm'bɑdi/,Somebody left their umbrella in the office.,誰かがオフィスに傘を置いていきました。
,,,soul,"〈C〉〈U〉魂,霊魂;心,精神(spirit)  / 〈U〉情,感情,情緒  / 〈U〉(物事の)生命,精髄;《話》生気,迫力  / 〈C〉人,人間  / 〈C〉(…の)権化,典型,化身《+of+名》  / 〈C〉(…の)指導者,中心人物《+of+名》  / 米国黒人[文化]の,米国黒人[文化]特有の,米国黒人[文化]に由来する",/səʊl/,She has a beautiful soul.,彼女は美しい魂を持っています。
,,,sometimes,"【副】ときどき / ときには（...なことがある, ...な時がある, ...なこともある） / 【形】時々の, 時たまの",/sʌmˈtaɪmz/,I sometimes go to the park on weekends.,週末にときどき公園に行きます。
,,,sound,"【形】(物が) 傷んでいない / (心身が) 健全な,健康な / (財政的に) 安定した,堅実な / (論理・判断などが)的確な,もっともな / (睡眠が)深い / 【副】ぐっすりと",/saʊnd/,The sound of the piano was beautiful.,ピアノの音は美しかった。
,,,spin,【動/他】〈糸など〉を紡ぐ / （クモ・カイコなどが）〈糸〉を吐く / をくるくる回す /【動/自】糸を紡ぐ / くるくる回る / 【名/C/U】回転,/spɪn/,She watched the wheel spin round and round.,彼女は車輪がぐるぐる回るのを見ていた。
,,,spot,【名】場所；斑点【動/他】を見つける；をしみで汚す【自】しみになる【形】即座になされる,/spɒt/,The cat is sleeping at the spot behind the couch.,猫はソファの背後のスポットで寝ている。
,,,spread,"〈たたんだ物など〉‘を'広げる,伸ばす《+out+名,+名+out》  / (…に)…‘を'薄く塗る;(…に)…‘を'かける,かぶせる《+名+on(over)+名》  / (…を)…‘に'薄く塗る;(で)…‘を'おおう《+名+with+名》  / …‘を'引き離す,押し広げる  / 《しばしば副詞[句]を伴って》(…に)…‘を'まき散らす;〈知識・ニュースなど〉‘を'広める;〈病気など〉‘を'まん延させる《+名+over(among)+名》  / 〈仕事・支払いなど〉‘を'引き延ばす《+名+out,+out+名》;(ある期間に)〈支払いなど〉‘を'わたらせる《+名+over(for)+名》  / …‘を'広げて見せる,展示する ",/spɹɛd/,She spread the blanket on the grass.,彼女はブランケットを草の上に広げました。
,,,stage,【名/C】舞台 / (発達などの)段階 / 【動/他】を上演する,/steɪdʒ/,The play was performed on a large stage.,プレイは大きな舞台で行われた。
,,,start,【名詞】始め；開始,/stɑːrt/,The start of the race was delayed due to bad weather.,レースの開始が悪天候のため遅れました。
,,,state,"【名/C】(人・物事の) 状態, 様子 / 【名/C/U】《しばしばS-》国家, 国, 政府 / (アメリカ・オーストラリアなどの)州 / 《話》米国 / 【形】国家の / 《米》州の / 公式の",/steɪt/,The state of California is known for its beautiful beaches.,カリフォルニア州は美しいビーチで知られています。
,,,stay,"【動/自】《副詞を伴って》とどまる, いる / 《...に》滞在する, 泊まる 《at, in ...》 / じっとしている / 《~ ...（名, 形, 過分）》...のままでいる【名/C】《単数形で》滞在",/steɪ/,I will stay here for the night.,私は今夜ここに滞在する。
,,,stick,"【動/他】《...で》…を刺す, を突く 《with ...》 / 《...に》 を突き刺す 《in, through ...》 / 《AでBに》...を刺して留める 《~ ... on B with A》 /《のりなどで》《...に》...をはる, をくっつける《~ ... on ... with ...》 /  ...を動けなくする / 【動/自】《...に》突き刺さる《in ...》 / くっついて離れない",/stɪk/,I like to stick stickers on my laptop.,私はラップトップにステッカーを貼るのが好きです。
,,,stock,"〈C〉〈U〉(…の)在庫品,仕入れ品,ストック《+of+名》  / 〈C〉〈U〉(…の)貯蔵,蓄え《+of+名》  / 〈U〉《集合的に》家畜  / 〈U〉血統,家系,家柄  / 〈U〉〈C〉(動植物の)種属  / 〈U〉(スープ種・ソース種などに用いる)煮出し汁  / 〈U〉〈C〉《おもに米》(株式会社の)株,株式;〈C〉株券,《英》国債,地方債  / 〈U〉原料  / 〈C〉《複数形で》(刑罰用の昔の)さらし台  / 〈C〉(銃の)台じり  / 〈C〉(接ぎ木の)台木  / 〈C〉(接ぎ穂をとる)親株  / 〈C〉(植物の)幹,茎  / 〈C〉(錨(いかり)のリングの下の)横棒  / 〈C〉(劇場の)専属劇団[のレパートリー] ",/stɑk/,I need to check the stock before placing an order.,注文をする前に在庫を確認する必要があります。
,,,storm,"あらし,暴風[雨],荒天  / (感情・言動などの)あらし,激発《+of+名》  / (一般に)激動,波乱,騒動  / (弾丸などが)雨あられと飛ぶこと《+of+名》  / 《itを主語にして》〈天候が〉荒れる  / 猛然と突進する;激しく怒る  / …‘を'強襲する,急襲する",/stɔrm/,The storm was so powerful that it knocked down trees and caused power outages.,あまりにも強力な嵐で、木々が倒れ、停電が発生しました。
,,,store,【名/C】店 / 蓄え【動/他】を蓄える / を倉庫に保管する,/stɔːr/,I store my clothes in the closet.,私は服をクローゼットに収納しています。
,,,storage,"【名/U】(倉庫などに)貯蔵すること, 保管 / 貯蔵所, 倉庫 / 保管料",/ˈstɔːrɪdʒ/,I need to find a storage solution for all my books.,私は全ての本のための収納解決策を見つける必要があります。
,,,stranger,"(…の)見知らぬ人《+to+名》  / よそから来た人,外部の人,新しく来た人;外国人  / (…に)経験のない人,慣れていない人《+to+名》",/ˈstreɪndʒər/,I was approached by a stranger on the street.,私は見知らぬ人に道で声をかけられました。
,,,stretch,"〈手足・翼など〉‘を'いっぱいに伸ばす(広げる)《+out+名,+名+out》  / 〈手など〉‘を'差し出す《+out+名,+名+out》  / (一方から一方へ)〈なわなど)‘を'張る,渡す,<じゅうたんなど>‘を'敷く《+名+out, out+名》  / 〈神経など〉‘を'極度に緊張させる,ぎりぎりまで使う(働かせる)  / 〈意味・法律など〉‘を'拡大解釈する,誇張する  / (無理に)〈靴など〉‘を'広げる,長くする,引っ張る  / 〈訪問など〉‘を'引き延ばす,長びかせる  / 〈人が〉長々と横になる(寝べる)《+out》  / 〈人が〉手足をいっぱいに伸ばす《+out》  / 《副詞[句]を伴って》伸びている,広がっている ",/strɛtʃ/,I like to stretch my arms and legs in the morning.,朝になると、私は腕や足を伸ばすのが好きです。
,,,strengthen,【動/他】を強くする / 【動/自】強くなる,/ˈstɹɛŋθən/,Regular exercise can help strengthen your muscles.,定期的な運動は筋肉を強化するのに役立ちます。
,,,subsequently,"【副】後で, 次に, 続いて / (前の記述を受けて)その後, 結果として",/sʌbˈsikwəntli/,He finished his work and subsequently left the office.,彼は仕事を終えて、後でオフィスを出た。
,,,stroke,"【名/C】(こぶし・武器・金づちなどの) 一打ち, 一撃 / 《鐘・時計などの》 打つ音 《of ...》 / (繰り返される動作・運動の) 一動作, 一工程 / (ペン・鉛筆・筆などの)筆の運び, 筆致",/strəʊk/,He suffered a stroke and was rushed to the hospital.,彼は脳卒中を起こし、病院に急送されました。
,,,strong,"(身体的に)力の強い  / (身体が)じょうぶな,健康な  / 勢力(権力)のある,有力な  / (物が)がんじょうな,堅固な  / (精神的・道徳的に)強い  / 説得力のある,効果的な  / (味・においが)いやな,不快な  / (動きが)激しい,速い  / (程度が)強い,強烈な,濃い  / アルコール分の多い  / 《数詞の後に用いて》…の人員の  / 強く,強力に;激しく,盛んに",/strɔŋ/,He is a strong man.,彼は強い男だ。
,,,studio,"(画家・写真家などの)仕事場,アトリエ  / (音楽・ダンス・演技などの)練習場  / 《しばしば複数形で》映画撮影所,スタジオ  / (ラジオ・テレビの)放送室,放送スタジオ",/'stjuː.di.əʊ/,She works in a small studio.,彼女は小さなスタジオで働いています。
,,,stuff,【名/U】材料 / 《話》 (ばく然と) 物 / 【動/他】《…を》 に詰める《with ...》 / 《...に》 を押し込む 《into ...》,/stʌf/,I have a lot of stuff in my room.,私の部屋にはたくさんの物があります。
,,,substance,"〈U〉物質,物 / 〈U〉《the~》《…の》趣旨,本音《of ...》 / 〈U〉(スープなどの)濃さ,こく,中身[の詰まっていること] / 〈U〉実質,実 / 〈U〉《古》財産,資産",/sʌbstəns/,Water is a substance that is essential for life.,水は生命にとって不可欠な物質です。
,,,sugar,【名/U】砂糖 / 《話》(恋人に対して呼び掛けて)ねえ / 【動/他】に砂糖をかける,/'ʃʊɡər/,I love the sweet taste of sugar.,私は砂糖の甘い味が大好きです。
,,,sweep,"…‘を'掃く,掃除する  / (ほうきで掃くなどして)〈ごみなど〉‘を'取る,集める《away(up)+名》;(…から)…‘を'取る《+《away(up)+名+from(off)+名》  / (掃くように)…‘の'上をさっと通る,…‘を'さっとなでる(吹き抜ける);《副司句を伴って》…‘を'掃くように動かす  / …‘を'押し流す,吹き飛ばす《+along(away, off)+名》;(…から)…‘を'押し流す《+名+  / off(from)+名》  / 〈選挙など〉‘に'全面的に勝利をおさめる  / 掃く,掃除をする  / 《副詞[句]を伴って》(掃くように)さっと通る(動く)  / 《副詞[句]を伴って》〈山などが〉弓なりに伸びる ",/swiːp/,I need to sweep the floor before guests arrive.,ゲストが到着する前に床を掃かなければなりません。
,,,swing,【動】揺り動かす、振り回す；【名】振幅、ブランコ,/swɪŋ/,She loves to swing on the playground.,彼女は遊び場で揺り動くのが大好きです。
,,,tackle,【名/U】(スポーツなどの) 道具 / 【名/C/U】滑車装置 / 【名/C】(ラグビーの) タックル / 【動/他】(問題・仕事など) に取り組む / にタックルする,/'tækəl/,He used his strength to tackle the opponent.,彼は力を使って相手にタックルした。
,,,tennis,"テニス,庭球",/'tɛnɪs/,I enjoy playing tennis.,私はテニスを楽しんでいます。
,,,territory,"〈C〉〈U〉(広い)地域,地方  / 〈C〉〈U〉(領海を含む)領土,領地  / 〈C〉〈U〉(セールスマン・代理店などの)受け持ち区域,担当区域;縄張り  / 〈C〉〈U〉(学問などの)領域,分野  / 〈C〉《T-》(アメリカ・カナダなどの)準州",/tɛrɪˌtɔri/,The country expanded its territory through colonization.,その国は植民地化によって領土を拡大した。
,,,thick,【形】厚い / 太い / 濃い / 密な【副】厚く【名/U】もっとも厚い部分《of》,/θɪk/,The thick book is difficult to carry.,厚い本は持ち運びが難しい。
,,,think,【動/他】を考える / ...と思う《~ that ...》 / ...を企てる / 【動/自】考える,/θɪŋk/,I think the answer is correct.,私は答えが正しいと思う。
,,,thirst,"【名/U/C】のどの渇き / 《a ~》《…に対する》渇望, 熱望《for ...》  / 【動/自】《...を》渇望する《for, after ...》",/θɜːrst/,I quenched my thirst with a cold glass of water.,私は冷たいグラスの水で喉の渇きを癒した。
,,,threat,"【名/C/U】脅し,脅迫 【名/C】《...の》(悪い)きざし,前兆《of》 / 《...にとっての》危険なもの《to》",/θrɛt/,The police received a threat about a bomb in the building.,警察はビルについての爆弾の脅迫を受けました。
,,,tie,"(縄・ひも・包帯などで…に)…を縛る,結わえる,縛り付ける《+名+up+(+up+名)+to+名+with+名》  / 〈ひも・ネクタイ・リボンなど〉‘を'結ぶ;〈衣類など〉‘の'ひもを結ぶ  / 〈結び目・ちょう結びなど〉‘を'結んで作る  / (仕事・時間・場所などに)〈人〉‘を'縛り付けたようにする,束縛する《+名+up(+up+名)+to(at)+名》  / (競技などで)〈相手・相手の得点・記録〉‘と'同じになる,タイになる  / 〈同じ高さの2音符〉‘を'タイ(連結線)で結ぶ  / 結べる,結び目を作る,縛られる  / (…と)同じになる《+with+名》  / (縛るのに用いる)糸,ひも,綱 ",/taɪ/,He used a tie to bind the package.,彼はパッケージを縛るためにネクタイを使った。
,,,till,【前】《継続を表す動詞と共に用いて》～までずっと / 《否定表現に続けて》…までは（...しない） / 【接】《肯定の主節とともに》...まで（ずっと） / 《結果》…してついに / 《否定の主節に続けて》…までは（...しない）,/tɪl/,I will wait till you come back.,あなたが戻ってくるまで待ちます。
,,,tight,【形】きっちり締まった / すきまのない / ピンと張った / (衣服などが) きつい / (時間的・空間的に)余裕のない,/taɪt/,"The rope was tightened around the package, making it look very tight.",ロープがパッケージの周りをしっかり締められていて、非常にきつく見えた。
,,,today,"きょう[は],本日[は]  / 現代では,今日では",/təˈdeɪ/,I am meeting a friend for lunch today.,今日、昼食に友達と会います。
,,,title,"【名/C】《....の》 題名 《of, to ...》 / 肩書き / 【名/U/C】(家屋・土地の) 所有権 / 【動/他】...に表題をつける / ...に肩書きを与える",/'taɪtəl/,The book's title is 'The Great Gatsby'.,その本のタイトルは『グレート・ギャツビー』です。
,,,to,【前置詞】《方向》...へ / 《適用範囲》...に対して / 《程度・範囲》...まで / 《比較・対比・割合》…と比べて / 《一致・適合》…に合わせて / 《目的・意図》…のために,/tuː/,I am going to the park.,私は公園に行きます。
,,,toward,"《運動の方向》…のほうへ,に向かって  / 《位置の方向》…のほうに,に面して  / 《時間・数量の接近》…近く  / 《関係》…に対して  / 《目的・貢献》…のために  / まさに起ころうとして,間近に迫って  / 進行中で",/təˈwɔːrd/,He ran toward the finish line.,彼はゴールラインに向かって走った。
,,,touch,"【動/他】〈人が〉(手・指などで)…をさわる / ...を感動させる / 《文》〈事が〉…に影響する / 【名/U】触覚, 触感 / 【名/C】触ること / 【名/U】《...の》気味, 気配《of ...》",/tʌtʃ/,His touch was gentle and warm.,彼の触り方は優しく温かかった。
,,,town,"〈C〉町  / 《the~;一つの町を指して言うとき a~》(田舎と区別して)都会;都会生活  / 《冠詞をつけずに》都心,(商店の立ち並ぶ)下町  / 《冠詞をつけずに》(ある地域の)主要な町(市);(一国の)首都  / 《the~》《集合的に;単数扱い》町の人たち,町民",/taʊn/,I went to the town yesterday.,昨日町に行きました。
,,,trace,"【名/C/U】跡, 形跡 / 【動/他】...の跡をつける,を追跡する / (複写紙などを使って)…を書き写す / 〈線・図形〉を描く《out》 /  【動/自】《…に》さかのぼる《back to ...》",/tɹeɪs/,I couldn't trace the source of the noise.,私はその音の出所を追跡することができませんでした。
,,,trail,"【動/他】の後について行く / を追跡する / を引きずる / 【動/自】引きずる / 【名/C】後に残したもの, 足跡 / 小道, (踏みなされた)道",/treɪl/,I love hiking on the trail.,私はトレイルを歩くのが大好きです。
,,,trick,【名/C】芸当 / たくらみ / いたずら / 【動/他】〈人〉を騙す,/trɪk/,He played a trick on his friends during the party.,彼はパーティー中に友達にいたずらをした。
,,,tree,"木,樹木;(潅木)(bush, shrub),低木に対し)喬木,高木  / (低木や草質植物でも形が高木に似ている)木;  / 木製具  / 枝分かれした図;系統図;(特に)家系図(family tree)  / 〈動物・人〉‘を'木に通い上げる",/tɹiː/,The tree was very tall.,その木はとても高かった。
,,,trend,"(…に向かう)傾向,すう勢,流行《+toward+名》  / (川・道路などの)向き  / 《方向を表す副詞[句]を伴って》(ある方向へ)〈川・道路などが〉向かう  / (ある方向に)〈事態・考えなどが〉向かう傾向がある《+to(toward)+名》",/trɛnd/,The current trend in fashion is towards minimalism.,現在のファッションの傾向はミニマリズムに向かっています。
,,,trouble,"【名/U】苦難, 悩み / 骨折り, めんどう / 【名/C】苦労の種, 心配事 / 【名/C】(政治的・社会的)紛争,騒動 / 【動/他】を悩ます, を心配させる / 《物事を頼むとき》 をわずらわす",/ˈtrʌbəl/,I had trouble finding my keys this morning.,今朝、鍵を見つけるのに苦労しました。
,,,truck,"【名/C】運搬車,トロッコ；トラック,貨物自動車【動/他】をトラックで運ぶ（に積む）【動/自】トラックを運転する",/trʌk/,The truck was loaded with supplies.,トラックには補給品が積まれていた。
,,,true,"ほんとうの,真実の  / 本物の,正真正銘の([[real]])  / 誠実な,忠実な,忠誠な([[faithful]])  / 心からの,うそ偽りのない  / 寸分違わない,正確に一致する,適合する  / 正当な,適正な,正しい([[proper]])  / 間違いない,確実な  / 〈機械・器具などが〉正確にできた,正しい位置にある / 〈声などが〉正しい調子の",/truː/,This is a true story.,これはほんとうの話です。
,,,turn,"…を回す,を回転させる / 〈角など〉を曲がる / …をひっくり返す / …の向きを変える / …を変化させる / (何かを軸・中心にして)回る,回転する / 《…に》進路を変える《to, toward ...》",/tɜrn/,Please turn off the lights before leaving.,出る前に、電気を消してください。
,,,twenty,"〈C〉(数の)20;20の記号 / 〈U〉(24時間制の)20時,20分;20歳  / 〈U〉《複数扱い》20人,20個  / 〈C〉20(20人,20個)一組のもの  / 《the twenties》(世紀の)20年代;《one's twenties》(年齢の)20代  / 20の,20人の,20個の  / 《補語にのみ用いて》20歳の(で)",/'twɛnti/,There are twenty students in the classroom.,教室には20人の生徒がいます。
,,,two,"〈C〉(数の)2,2の記号  / 〈U〉2時,2分;2歳  / 《複数扱い》二人;2個  / 〈C〉二つ(二人,2個)1組のもの  / 〈C〉(カードゲーム)2の札,(さいころの)2の目  / 2の;二人の;二つの,2個の  / 《補語にのみ用いて》2歳の(で)",/tuː/,I have two cats.,私は猫を2匹飼っています。
,,,twelve,"〈C〉(数の)12;12の記号(12,XIIなど) / 〈U〉12時,12分,12歳 / 《複数扱い》12人,12個 / 〈C〉12(12人,12個)一組のもの / 《the ~》(また[[Twelve Apostles]])キリストの12使徒 / 12の,12人の,12個の / 《補語にのみ用いて》12歳の(で)",/twɛlv/,There are twelve students in the classroom.,教室には12人の生徒がいます。
,,,union,"〈U〉(…の,の間の)結合,合同,合併;調和,一致《+of(between)+名》  / 〈C〉結合したもの,結合体,統一組識  / 《the U-》アメリカ合衆国;(南北戦争時に)連邦政府側についた北部諸州  / 《the U-》英連合王国(1706年イングランドとスコットランドが合併)  / 〈C〉労働組合同盟,ユニオン  / 〈C〉〈U〉結婚[生活]  / 〈C〉連合旗章(米国国旗の白星;英国国旗の3本十字の三国連合旗章など)  / 〈C〉(機械の部品をくなぐ)接合管",/juːnjən/,The union negotiated a new contract for the workers.,労働組合は労働者のために新しい契約を交渉しました。
,,,universal,"すべての人々の,万人共通の;全世界の  / 普遍的な,一般的な,全般的な",/juːnɪˈvɜːrsəl/,Education is a universal right.,教育はすべての人々の権利です。
,,,van,"【名/C】有蓋トラック, (家具・商品・家畜などの運搬用に使われる)ほろつきトラック / 【動/他】をバンで運ぶ / 【動/自】バンで行く",/væn/,I rented a van for our road trip.,私は私たちのロードトリップのためにバンを借りました。
,,,up,"《上への動作》上へ,上のほうへ / 《上の位置》上に, 上のほうで / 起こして / (地図・紙面などの)上へ, 上に / (遠くから)近くへ,中心へ / (大きさ・量などが)上のほうへ / (話者,話題の場所へ)近づいて / 活動して / すっかり,完全に",/ʌp/,She looked up at the sky.,彼女は空を見上げた。
,,,various,"互いに異なる, いろいろな, さまざまな / 《名詞の前にのみ用いて》いくつかの",/ˈvɛəriəs/,There are various options for entertainment in the city.,市内にはさまざまな娯楽の選択肢がある。
,,,video,〈U〉テレビの映像  / 〈C〉テレビ  / テレビ映像に関する  / ビデオテープの,/'vɪdi.oʊ/,I watched an interesting video last night.,昨晩面白い動画を見ました。
,,,view,"【名/U/C】《...を》見ること《of ...》 / 【名/U】《...の》視界《of ...》 / 《...の》ながめ《of ...》 / 【名/C】見方, 考え方 / 【動/他】...を見る, を眺める",/vjuː/,The view from the top of the mountain is breathtaking.,山の頂上からの景色は息をのむようだ。
,,,voice,"〈U〉(人間の)声  / 〈U〉声を出す力,物を言う力  / 〈C〉〈U〉声の質,声の状態(調子)  / 〈C〉(人の声を思わせる)(…の)音《+of+名》  / 〈C〉(人の声にたとえた)(…の)音《+of+名》  / 〈U〉〈C〉発言権,選択権,投票権  / 〈U〉表現,表明;意見  / 〈C〉(声楽の)声  / 〈C〉(文法で)態  / 〈気持ちなど〉‘を'言い表す,口に出す  / 〈音〉‘を'有声音で発音する",/vɔɪs/,Her voice is so beautiful.,彼女の声はとても美しいです。
,,,walk,"歩くこと,歩行  / 散歩,遠足  / 歩行距離,道のり  / 歩道,散歩道,遊歩道  / (特徴をもった)湾き方,歩きぶり",/wɔːk/,I enjoy taking a walk in the park every morning.,毎朝公園で散歩するのが楽しいです。
,,,wage,"【名/C】賃金 / (罪などの)報い / 【動/他】《…に対して》〈戦争など〉を行う《against, on ...》",/weɪdʒ/,The minimum wage in this country is $15 per hour.,この国の最低賃金は時給15ドルです。
,,,water,"〈U〉水  / 《しばしば複数形で》海(湖,川)の水  / 《複数形で》流れる水;《海・川・湖などの》波立つ水《of ...》  / 《複数形で》(特定の)水域,領海,近海  / 〈U〉潮位,水位;《the》水面  / 〈U〉分泌液(涙・汗・尿など)  / 〈U〉溶液,…水  / 《複数形で》(飲用の)鉱泉水  / 〈U〉(織物・金属などの)波紋",/'wɔːtər/,I drank a glass of water.,私はコップ一杯の水を飲みました。
,,,weather,"【名】天気, 天候 / あらし, 悪天候 / 【動/他】(外気に)…を当てる,を乾かす / 〈あらし・危険など〉を切り抜ける,を乗り切る",/'wɛðər/,The weather today is sunny.,今日の天気は晴れです。
,,,weight,"〈u〉重さ,重量,目方;体重;《a weight》(…の)重さ《+of+名》  / 〈u〉重さ(重力が物体に及ぼす力)  / 〈u〉衡法(重量を示す体係)  / 〈c〉重量単位  / 〈c〉(はかりの)おもり,分銅;(一般に)重いもの,おもし  / 〈u〉重要性,価値  / 〈u〉《しばしば a weight》精神的な重荷,負担  / (…で)…‘に'重荷を負わせる;…‘を'圧迫する;苦しめる《+名+with+名》  / …‘を'重くする",/weɪt/,I can't believe how much weight I've gained.,信じられないくらい体重が増えた。
,,,wealthy,"【形】(人が)富裕な, 裕福な / 豊富に持っている / 《...に》富んだ《in ...》",/wɛlθi/,He comes from a wealthy family.,彼は裕福な家族から来ています。
,,,where,"《疑問副詞》どこに(で,へ),どういう状態に,どんな点で  / 《関係副詞》  / 《制限用法》(…する,した)ところの  / 《非制限用法》そしてそこで,するとその点で  / 《先行詞を含んで》…する(…である)ところ",/wɛər/,Where did you go?,どこに行ったの？
,,,whatever,"【代名】...するものは何でも / いかに…でも / 《驚きを表して》いったい何が / 《話・単体で》なんでも構わない, どうでもいいよ",/wʌtˈɛvər/,You can do whatever you want.,好きなことを何でもできます。
,,,whether,"【接】《名詞節(句)を導いて》...かどうか / ...かそれとも...か / 《~ …or…の形で,譲歩の副詞節(句)を導いて》…であろうと…であろうと",/'wɛðər/,I don't know whether he will come to the party or not.,彼がパーティーに来るかどうかわからない。
,,,whom,"《疑問代名詞》だれを(に),どんな人を(に)  / 《関係代名詞》  / 《制限用法》(…する,…した)ところの  / 《非制限用法》そしてその人を(に)",/wuːm/,To whom did you give the book?,あなたは誰にその本をあげましたか？
,,,widely,【副】広く；広範囲に；大いに,/ˈwaɪdli/,The internet is widely used for communication and research.,インターネットはコミュニケーションや研究に広く利用されています。
